שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
מגאר,481,"1,119","23,624",-,-,99.90,21.70,21.20,57,"12,168","11,457",8.66,8.37,8.50,8.52,18.84,21.95,15.76,3.29,6.10,30.44,2.19,671,382,2,1.20,( 3.0),85,5.44,297,12.67,1.50,0.00,0,0,0,0,0,41,36,190,65,125,43,79,67,1,154,52,102,27,73,54,0,4,146,31.60,28,4.30,-,-,-,-,-,-,-
מג'ד אל-כרום,516,"1,679.50","15,630",-,-,99.90,100,-,-,"7,992","7,638",7.97,8.64,9.83,10.54,18.50,19.49,16.05,3.19,5.80,32.66,2.24,747,239,1.99,1.40,( 5.7),49,5.51,190,12.23,1.19,0.03,0,0,0,0,0,-21,-33,94,27,67,24,46,23,1,127,47,80,29,66,32,0,0,103,28.60,24,4.90,-,-,-,-,-,-,-
מגדל,65,..,"1,988",97.40,97.30,-,-,-,-,"1,007",981,8.75,8.60,8.80,7.19,13.23,17.56,16.85,7.04,11.97,30.63,3.52,827,42,..,0.40,  ..,13,..,29,14.62,0.42,5.28,0,0,0,0,0,-5,-3,99,43,56,35,19,40,5,102,51,51,32,29,38,3,11,255,37.20,26,2.50,2,134,0.91,-,-,5.86,-
מגדל העמק,874,"2,986.80","26,029",100,88.80,-,-,-,-,"12,915","13,113",8.55,8.30,7.59,8.39,13.28,17.54,15.84,5.19,15.32,29.18,5.77,929,461,2.93,2.40,( 5.2),204,6.19,257,9.93,1.19,24.12,94,18.09,39.36,27.66,14.89,45,-42,893,455,438,278,241,327,47,935,475,460,251,284,339,61,"1,651",185,20.20,95,9.30,10,941,0.38,1.58,1.17,0.18,0.35
מג'דל שמס,"4,201",741.40,"11,405",-,-,100,-,-,99.90,"5,771","5,634",7.01,7.61,8.57,8.84,16.30,20.04,19.90,3.92,7.81,28.64,2.69,662,155,1.91,0.40,  ..,42,5.65,113,9.97,1.23,0,0,0,0,0,0,20,24,83,30,53,17,35,31,0,59,23,36,9,21,28,1,13,11,15.20,10,13.70,-,-,-,-,-,-,-
מודיעין עילית,"3,797",..,"80,996",100,100,-,-,-,-,"40,891","40,106",19.99,19.32,16.39,10.35,12.01,15.44,5.06,0.42,1.00,62.88,0.36,"2,035","3,212",7.06,10, 3.1,47,3.83,"3,165",39.82,3.89,3.61,92,20.65,53.26,10.87,15.22,-158,-266,"1,735","1,047",688,683,811,208,33,"2,001","1,114",887,773,955,260,13,"3,357","1,006",95.10,377,9.60,11,"1,956",-,0.14,2.37,-,-
מודיעין-מכבים-רעות*,"1,200","2,009.10","97,097",100,97.80,-,-,-,-,"47,985","49,112",6.59,9.08,11.04,10.08,12.35,15.94,21.42,3.97,9.53,33.12,3.59,863,"1,078",2.31,1.20,( 1.1),254,3.20,824,8.59,2.58,11.36,285,29.47,25.96,14.74,29.82,"1,672","1,310","3,942","1,911","2,031","1,303",545,"1,690",404,"2,632","1,336","1,296",580,979,927,146,"5,566",413,14.70,97,4.30,4,337,0.30,-,0.04,0.01,-
מזכרת בתיה,28,"2,077.40","15,424",99.90,98.60,-,-,-,-,"7,627","7,796",6.89,10.44,11.33,8.95,11.51,17.54,19.85,3.94,9.53,34.19,3.05,892,192,2.51,0.40,  ..,46,3.87,146,9.57,2.19,6.70,9,55.56,33.33,0,11.11,177,183,713,364,349,291,61,322,39,530,267,263,133,166,207,24,490,45,10.40,52,8.30,2,130,0.70,-,-,0.16,-
מזרעה,517,..,"4,078",-,-,99.70,98,-,-,"2,062","2,015",10.23,7.45,6.89,7.11,18.02,21.14,16.01,5.52,7.58,28.13,2.72,647,87,..,   -,   -,31,..,56,13.87,2.00,0.10,0,0,0,0,0,23,21,56,17,39,17,20,17,2,35,13,22,12,10,13,0,0,43,34.70,12,6.70,-,-,-,-,-,-,-
מטולה,43,..,"1,693",96.30,94.70,-,-,-,-,850,842,6.85,4.73,4.96,5.97,20.56,20.73,14.88,5.91,15.30,20.26,5.32,609,23,..,   -,   -,4,..,19,11.35,2.31,8.03,..,..,..,..,..,35,30,140,69,71,20,75,44,1,110,58,52,16,33,59,2,44,13,17.60,3.30,..,-,-,-,-,-,-,-
מיתר,"1,268",436,"10,565",98.10,98.10,-,-,-,-,"5,304","5,261",7.65,11.33,11.90,7.90,11.83,18.87,17.57,3.66,9.29,35.92,3.00,926,146,2.58,   -,   -,21,3.37,125,12.17,5.87,5.66,11,36.36,9.09,36.36,18.18,504,495,871,439,432,380,108,365,18,376,198,178,95,87,147,47,319,60,24,31,7.30,-,-,-,-,-,-,-
מסעדה,"4,203",..,"3,812",-,-,100,0.10,-,99.90,"1,945","1,867",7.24,9.31,9.65,9.42,14.61,20.59,18.07,3.46,7.63,32.21,2.75,763,77,..,   -,   -,13,..,64,16.92,1.59,0,0,0,0,0,0,-6,-7,20,6,14,1,12,7,0,27,3,24,4,15,8,0,0,47,43.60,7,4.30,-,-,-,-,-,-,-
מעיליא,518,..,"3,267",-,-,97.60,0.10,99.80,0.10,"1,629","1,638",6.67,6.58,6.34,7.71,13.71,18.76,18.79,4.99,16.47,23.94,9.64,778,41,..,   -,   -,21,..,20,6.12,-0.07,1.41,0,0,0,0,0,-8,-12,23,7,16,6,7,10,0,35,7,28,9,15,11,0,0,19,17.90,8,5.20,2,145,-,-,-,4.44,-
מעלה אדומים,"3,616",..,"37,555",99.90,96.50,-,-,-,-,"18,410","19,145",8.75,8.79,8.72,8.60,15.59,16.45,16.68,5.20,11.23,31.48,4.10,855,686,2.88,0.40,  ..,128,3.80,558,14.80,-0.77,14.64,69,21.74,37.68,28.99,11.59,-872,-920,785,383,402,225,233,278,49,"1,705",848,857,472,515,606,112,"1,759",266,21.50,157,10.20,5,467,0.30,0.02,0.34,0.41,0.16
מעלה אפרים,"3,608",..,"1,318",99.70,91.70,-,-,-,-,687,631,11.46,12.29,9.94,8.12,14.34,17.30,11.53,4.25,10.70,37.03,2.73,"1,107",28,..,0.20,  ..,8,..,20,15.55,4.95,14.64,0,0,0,0,0,40,46,113,52,61,61,23,29,0,67,33,34,25,16,23,3,32,10,21.30,12,30.70,2,87,-,-,0.96,-,5.98
מעלה עירון,"1,327","2,506.80","15,642",-,-,100,100,-,-,"7,953","7,689",9.84,9.07,9.14,10.43,19.90,17.50,15.80,3.01,5.31,34.03,1.71,779,330,2.69,1.80,( 5.7),61,6.38,269,17.34,1.70,0.01,0,0,0,0,0,-21,-21,114,37,77,38,51,25,0,135,48,87,34,71,30,0,57,225,52.10,16,2.40,-,-,-,-,-,-,-
מעלות-תרשיחא,"1,063","2,409.60","22,315",77.70,83.10,22.30,48.90,47.50,1.10,"11,165","11,150",7.28,7.72,7.96,6.70,13.71,18.07,17.71,5.91,14.95,26.71,5.69,805,371,2.71,1.40,( 4.2),176,5.49,195,8.78,0.87,28.63,14,0,14.29,50,35.71,-38,-25,716,367,349,216,158,307,35,741,369,372,185,230,275,51,867,161,21.30,81,8.60,8,518,0.82,-,1.14,0.18,0.20
מצפה רמון,99,68.40,"5,178",96,91.90,4,91.80,1,7.70,"2,851","2,326",10.14,8.21,7.13,10.95,21.28,17.92,11.92,3.28,9.13,32.02,3.53,837,145,..,0.80,  ..,22,5.85,123,23.74,-0.15,14.45,8,0,62.50,25,12.50,-128,-135,327,173,154,56,160,101,10,462,237,225,136,142,162,22,301,78,34.40,14,9,3,592,-,4.84,6.58,-,-
משהד,520,"1,206.60","8,655",-,-,100,100,-,-,"4,486","4,169",10.33,10.79,9.34,9.71,19.06,19.79,12.74,3.10,5.14,36.03,1.74,828,218,..,0.60,  ..,25,7.33,193,22.52,1.99,0,0,0,0,0,0,-30,-31,53,17,36,20,14,19,0,84,29,55,23,43,18,0,1,125,49.20,9.30,2.90,-,-,-,-,-,-,-
נהרייה,"9,100","5,302.70","60,806",97.60,85.60,-,-,-,-,"29,553","31,253",7.00,7.25,6.91,6.52,11.82,18.04,18.53,5.64,18.28,25.04,7.22,851,903,2.54,0.60,  ..,462,5.43,441,7.35,2.79,24.54,682,29.18,32.11,26.39,12.32,"1,166",457,"2,484","1,212","1,272",511,579,"1,116",278,"2,027",996,"1,031",492,466,920,149,"4,663",329,15.10,250,10.30,17,976,0.96,-,0.20,0.27,0.21
נוף הגליל,"1,061","1,298.70","42,657",68.20,77.70,31.80,38.10,61.70,0.10,"20,520","22,137",7.85,7.39,6.32,6.22,13.49,18.01,16.94,5.49,18.30,25.04,7.84,855,663,2.44,2.40,( 3.7),469,6.14,194,4.59,1.72,33.16,273,35.90,27.47,25.27,11.36,497,225,"2,290","1,121","1,169",737,726,736,91,"2,065","1,018","1,047",479,508,855,223,"1,845",221,13.80,179,5.40,11,753,1.05,-,0.21,0.39,0.14
נחף,522,"2,234.70","13,558",-,-,99.80,99.90,-,-,"6,871","6,688",10.47,10.05,9.55,11.12,18.21,19.65,13.99,2.58,4.37,36.66,1.66,837,272,2.60,1.40,( 4.8),53,6.66,219,16.29,1.70,0.02,..,..,..,..,..,-4,-3,84,24,60,22,34,27,1,87,23,64,22,46,19,0,2,155,40.20,30,5.70,-,-,-,-,-,-,-
נס ציונה,"7,200","3,218.90","50,456",99.90,98,-,-,-,-,"24,845","25,611",6.58,9.11,10.00,8.49,10.28,17.70,19.88,4.09,13.88,31.14,5.18,925,528,2.05,1.20,( 1.9),203,3.87,325,6.43,-0.49,6.64,19,42.11,42.11,5.26,10.53,-431,-455,"1,119",554,565,332,155,545,87,"1,574",789,785,407,430,657,80,"1,581",162,10.20,170,9.90,9,801,0.20,-,-,1.34,0.05
נצרת,"7,300","5,498","77,925",-,-,99.80,72.80,27.20,-,"38,899","39,026",7.99,8.28,8.28,8.86,17.77,18.77,16.76,4.25,9.04,29.58,3.67,738,"1,260",2.13,5.60, 4.4,448,5.64,812,10.43,0.17,0.03,7,42.86,14.29,28.57,14.29,-728,-769,559,202,357,151,214,185,9,"1,328",568,760,353,448,489,38,658,851,33.80,177,8.40,6,150,0.06,-,-,0.10,0.03
נשר,"2,500","1,835.60","23,760",98.60,87.40,-,-,-,-,"11,537","12,223",6.26,6.24,5.88,5.62,13.16,19.65,17.49,6.23,19.47,21.78,7.92,769,295,1.88,-,   -,186,4.51,109,4.56,-1.16,28.51,35,25.71,20,28.57,25.71,-392,-447,828,408,420,138,251,343,96,"1,275",626,649,308,321,545,101,722,101,10.90,85,8.30,2,298,0.42,-,-,0.82,-
נתיבות,246,"2,588.20","42,039",99.90,96.80,-,-,-,-,"20,892","21,147",14.59,12.54,9.99,7.67,15.88,18.88,11.04,2.99,6.41,41.86,2.38,"1,049","1,274",4.22,4.80, 4.2,152,5.35,"1,122",27.45,5.88,10.19,22,27.27,27.27,13.64,31.82,"1,332","1,321","2,644","1,355","1,289",958,810,791,85,"1,323",686,637,518,384,406,15,"2,661",589,58.80,149,10.40,4,405,0.62,0.33,0.08,-,-
נתניה,"7,400","7,234.20","224,066",99.70,90.50,-,-,-,-,"109,136","114,929",8.02,8.18,7.47,6.36,11.84,18.38,15.97,4.97,18.81,27.54,8.13,955,"3,568",2.65,6.20, 1.7,"1,801",4.86,"1,767",7.92,0.87,28.67,"2,687",22.74,31.52,25.05,20.69,"1,245",-966,"5,814","2,944","2,870","1,338","1,407","2,444",625,"6,780","3,426","3,354","2,029","1,579","2,690",482,"14,780","1,462",19.10,897,9.70,34,"3,055",0.45,0.38,0.17,0.35,0.03
סאג'ור,525,..,"4,425",-,-,100,-,-,99.90,"2,293","2,132",8.59,7.48,8.75,8.56,19.59,23.41,15.12,3.03,5.45,29.81,1.83,635,76,..,   -,   -,10,(5.1),66,15.03,1.54,0,0,0,0,0,0,-6,-4,42,17,25,8,16,18,0,46,11,35,9,22,14,1,0,59,46.40,5.70,3,-,-,-,-,-,-,-
סביון*,587,..,"4,051",99.90,98.30,-,-,-,-,"2,024","2,027",4.52,6.94,8.54,9.48,14.14,10.05,21.30,6.49,18.56,25.87,8.57,923,31,..,   -,   -,27,..,4,0.99,0.71,6.42,18,55.56,16.67,5.56,22.22,24,-7,238,130,108,79,50,99,10,245,125,120,53,76,86,30,59,11,7.90,23,12.90,-,-,-,-,-,-,-
סח'נין,"7,500","2,840.20","32,743",-,-,99.90,95,5,-,"16,804","15,940",9.17,9.59,9.58,9.17,17.12,20.44,16.26,3.13,5.53,33.84,2.12,756,580,2.24,2,( 3.3),92,4.90,488,15.03,1.71,0.02,0,0,0,0,0,48,39,241,71,170,59,107,75,0,202,76,126,54,84,64,0,18,374,42.80,61,4.40,..,..,..,..,..,..,..
ע'ג'ר,"4,501",..,"2,745",-,-,100,99.80,-,-,"1,385","1,360",9.11,10.93,9.84,10.16,18.14,22.84,12.60,2.48,3.90,36.03,1.06,784,56,..,0.40,  ..,10,..,46,16.89,1.59,0.04,0,0,0,0,0,-7,-6,4,2,2,0,2,2,0,10,2,8,2,2,6,0,40,35,49.10,2,..,-,-,-,-,-,-,-
עומר,666,420.20,"7,656",97.90,97.70,-,-,-,-,"3,787","3,868",5.02,7.94,9.69,8.83,11.82,13.69,18.09,4.52,20.38,28.11,9.22,"1,078",67,..,0.20,  ..,53,4.01,14,1.84,1.13,5.02,7,42.86,57.14,0,0,73,68,414,210,204,156,45,187,26,346,181,165,64,88,151,43,222,35,15,22,6.30,..,..,..,..,..,..,..
עיילבון,530,"1,032.70","5,812",-,-,99,29.50,70.50,-,"2,946","2,866",7.26,8.83,7.88,7.98,16.02,21.90,15.86,4.61,9.64,28.66,3.63,712,87,..,0.20,  ..,30,4.31,57,9.83,0.43,0.38,..,..,..,..,..,-44,-45,50,17,33,9,25,15,1,95,42,53,24,40,31,0,0,50,29.50,15,5.60,..,..,..,..,..,..,..
עילוט,511,"2,778.30","8,654",-,-,100,100,-,-,"4,428","4,226",10.82,10.15,10.04,10.25,19.22,18.36,14.58,2.43,4.14,36.88,1.44,831,149,..,0.40,  ..,22,6.57,127,14.78,1.36,0.01,0,0,0,0,0,-22,-21,60,17,43,21,25,14,0,81,32,49,24,33,24,0,0,107,47.20,6,1.70,-,-,-,-,-,-,-
עין מאהל,532,"2,627.60","13,748",-,-,99.90,100,-,-,"6,975","6,773",9.36,9.20,8.75,9.89,19.67,18.40,15.93,3.42,5.40,32.83,1.77,742,230,2.17,1.40,( 5.3),46,5.20,184,13.47,1.32,0.07,0,0,0,0,0,-14,-16,52,12,40,9,27,15,1,68,21,47,11,37,20,0,0,110,28,19,3.30,-,-,-,-,-,-,-
עין קנייא,"4,502",..,"2,172",-,-,100,-,0.50,99.50,"1,127","1,045",8.15,8.29,9.67,8.93,15.15,21.18,18.19,3.55,6.91,31.26,2.21,722,47,..,0.40,  ..,12,..,35,16.24,1.55,0,0,0,0,0,0,-1,0,16,3,13,2,7,7,0,16,2,14,1,9,6,0,0,39,63,6,6.40,-,-,-,-,-,-,-
עכו,"7,600","3,348.70","49,614",66.90,86.40,33.10,91.10,8.20,0.70,"24,562","25,052",7.61,7.84,7.36,7.50,13.51,19.71,16.29,5.61,14.56,27.14,5.38,814,762,2.26,2.20,( 2.6),419,6.36,343,6.92,0.22,18.10,396,24.75,40.91,23.74,10.61,-207,-544,870,421,449,183,265,359,63,"1,414",686,728,360,339,592,123,"2,858",429,23.30,265,13.50,11,"1,389",0.78,0.97,0.31,0.58,0.16
עמנואל,"3,660",..,"4,372",100,99.90,-,-,-,-,"2,168","2,205",20.43,15.60,11.21,6.95,17.25,14.27,7.53,3.06,3.73,51.67,0.91,"1,375",188,..,0.20,  ..,16,..,172,40.47,5.91,3.16,0,0,0,0,0,72,72,282,142,140,120,109,51,2,210,114,96,100,66,35,9,588,61,81.90,10.30,8,..,..,..,..,..,..,..
עספיא,534,"1,508","12,746",-,-,98.30,9.40,13.70,76.70,"6,419","6,327",7.23,7.16,7.98,8.05,15.75,21.73,18.17,4.41,9.52,27.24,3.30,665,173,1.80,0.40,  ..,69,5.10,104,8.20,1.06,0.79,4,75,25,0,0,2,0,168,68,100,41,44,77,6,168,65,103,38,55,66,9,62,145,37.50,41,7.10,..,..,..,..,..,..,..
עפולה,"7,700","2,025.10","59,075",98.90,89.60,-,-,-,-,"28,829","30,246",10.98,8.55,7.06,6.28,13.97,18.88,14.43,5.10,14.76,30.30,5.41,910,"1,284",3.20,2.20,( 1.9),401,5.57,883,15.24,4.06,21.47,143,30.07,37.06,19.58,13.29,"1,529","1,392","3,412","1,705","1,707",947,975,"1,238",252,"2,020","1,023",997,637,493,792,98,"4,400",376,19.30,254,11.70,19,"1,311",0.46,1.02,0.44,0.26,0.12
עראבה,531,"3,172","26,641",-,-,99.90,98.80,-,-,"13,448","13,193",9.56,9.99,10.44,10.83,18.02,18.76,14.52,2.84,5.02,36.22,1.82,847,458,2.19,1.60,( 3.2),71,5.55,387,14.63,1.48,0.03,0,0,0,0,0,3,3,165,49,116,39,67,57,2,162,54,108,42,72,48,0,18,265,36.10,46,4.30,-,-,-,-,-,-,-
ערד,"2,560",218.70,"27,582",96.60,84.10,-,-,-,-,"13,565","14,016",12.76,10.66,7.35,6.84,14.73,14.82,13.59,4.52,14.73,34.82,6.51,"1,098",691,3.98,2,( 2.8),209,5.61,482,17.59,1.37,26.96,37,18.92,37.84,24.32,18.92,-98,-184,816,433,383,284,297,201,34,"1,000",525,475,260,283,368,89,"1,788",140,15.90,125,12.20,8,835,0.79,0.86,0.98,-,0.44
ערערה,637,"2,788.60","25,823",-,-,99.80,100,-,-,"13,078","12,744",9.26,8.97,10.06,10.56,17.22,18.34,15.89,3.28,6.42,34.31,2.57,827,395,2.07,1.80,( 4.9),89,4.58,306,11.92,1.15,0.07,0,0,0,0,0,-32,-34,147,47,100,43,71,31,2,181,53,128,59,76,46,0,13,234,29.80,29,2.80,-,-,-,-,-,-,-
ערערה-בנגב,"1,192","1,403.20","19,682",-,-,99.90,100,-,-,"9,856","9,825",17.05,14.41,13.20,12.13,18.88,14.06,7.21,1.17,1.88,51.84,0.58,"1,419",721,5.13,4.20, 6.4,39,6.37,682,35.31,3.85,0,..,..,..,..,..,-9,-12,107,38,69,43,50,14,0,119,54,65,42,47,29,1,143,310,59.70,29,5.80,-,-,-,-,-,-,-
פוריידיס,537,"3,345","13,570",-,-,99.90,99.90,-,-,"6,822","6,748",9.14,9.68,9.65,9.29,17.73,20.18,15.31,3.58,5.43,33.91,1.95,760,203,1.94,1.40,( 5.5),52,6.52,151,11.18,0.89,0.03,0,0,0,0,0,-28,-31,72,28,44,23,23,25,1,103,49,54,34,29,38,2,10,118,31.20,42,7.50,-,-,-,-,-,-,-
פסוטה,535,..,"3,236",-,-,99.80,0.20,99.80,-,"1,646","1,590",7.17,7.73,6.40,6.58,15.64,21.54,18.82,5.01,11.16,25.06,4.30,639,42,..,   -,   -,31,..,11,3.43,1.77,0.06,..,..,..,..,..,33,31,46,19,27,12,14,19,1,15,5,10,3,6,6,0,0,18,17.90,-,-,-,-,-,-,-,-,-
פקיעין (בוקייעה),536,"1,065.60","6,026",-,-,99.90,1.10,20.90,78,"3,082","2,943",7.25,7.70,7.27,7.92,17.21,21.26,17.44,4.73,9.21,26.68,3.35,649,85,..,   -,   -,36,5.04,49,8.17,0.85,0.03,0,0,0,0,0,-1,0,40,11,29,1,26,13,0,41,5,36,9,17,14,1,2,64,40.10,17,5.70,-,-,-,-,-,-,-
פרדס חנה-כרכור,"7,800","1,956","44,210",99.90,97,-,-,-,-,"21,631","22,579",8.30,9.93,9.35,6.96,10.31,19.88,18.21,4.43,12.62,32.06,4.85,893,634,2.44,1,( 1.5),204,4.80,430,9.78,1.03,11.23,46,34.78,21.74,32.61,10.87,73,21,"1,829",876,953,593,248,872,116,"1,808",862,946,560,444,727,77,"1,709",159,10.90,162,9.80,7,568,0.58,-,-,0.63,0.09
פרדסייה,171,"4,953.60","7,251",100,98.70,-,-,-,-,"3,696","3,555",8.76,9.42,8.08,6.61,11.79,20.11,16.91,6.15,12.18,30.48,2.94,819,115,..,   -,   -,11,3.07,104,14.97,9.18,4.30,4,25,25,25,25,503,491,866,462,404,364,91,391,20,375,195,180,90,92,165,28,181,28,14.30,24,8.40,-,-,-,-,-,-,-
פתח תקווה,"7,900","7,051.90","252,270",99.80,91.70,-,-,-,-,"123,536","128,733",8.13,8.86,8.13,6.98,11.04,18.89,17.06,4.28,16.62,29.52,7.09,950,"3,906",2.63,8.20, 2.0,"1,752",4.67,"2,154",8.57,0.71,18.32,383,24.28,34.20,27.68,13.84,-452,-907,"7,765","3,937","3,828","2,100","1,940","3,080",645,"8,671","4,437","4,234","2,693","1,973","3,524",481,"13,282","1,558",19.20,927,8.90,42,"3,342",0.11,0.11,0.50,0.62,-
צפת,"8,000","1,251.60","37,472",97.90,93.80,-,-,-,-,"19,057","18,415",13.50,11.57,10.57,9.16,15.64,14.57,11.28,3.91,9.80,41.01,3.91,"1,203","1,053",4.68,2.40,( 2.3),209,5.48,844,22.96,3.91,14.01,128,31.25,35.94,22.66,10.16,184,90,"1,903",993,910,640,703,532,28,"1,813",931,882,585,594,528,106,"2,004",445,41,164,13.20,13,"1,621",0.65,0.41,1.52,-,1.91
קדומים,"3,557",..,"4,590",100,99.50,-,-,-,-,"2,266","2,324",11.24,13.79,13.90,9.41,12.98,16.69,10.20,2.83,8.95,45.19,2.29,"1,342",99,..,0.20,  ..,6,(3.5),93,20.27,0.09,4.90,6,0,50,0,50,-95,-97,150,86,64,60,40,46,4,247,131,116,92,79,67,9,249,36,36.70,18,10.30,..,..,..,..,..,..,..
קדימה-צורן,195,"2,158.80","22,920",99.90,98,-,-,-,-,"11,456","11,464",6.85,8.99,10.02,8.94,13.02,16.30,21.96,4.87,9.04,31.24,3.36,781,253,2.13,0.20,  ..,64,3.48,189,8.28,0.89,7.05,16,56.25,12.50,12.50,18.75,29,-9,879,449,430,303,124,407,45,888,429,459,230,253,354,51,697,98,13.10,91,9.90,2,279,-,-,-,0.78,0.44
קלנסווה,638,"2,832","23,877",-,-,99.80,99.90,-,-,"12,220","11,657",11.05,10.31,10.34,10.42,18.43,17.98,13.91,3.00,4.56,37.90,1.52,875,490,2.70,1.40,( 2.7),77,6.17,413,17.43,1.55,0.06,..,..,..,..,..,-59,-76,159,60,99,56,61,42,0,235,98,137,96,73,65,1,26,258,38.40,77,8.50,-,-,-,-,-,-,-
קצרין,"4,100",698.50,"7,606",99.30,81.60,-,-,-,-,"3,716","3,890",7.36,8.27,8.61,6.35,13.42,16.99,17.32,5.67,15.99,27.64,6.00,872,124,..,0.60,  ..,42,5.38,82,10.86,1.41,31.24,25,40,32,20,8,47,20,369,189,180,105,82,156,26,349,171,178,85,93,143,28,431,66,24.70,19,6.50,2,123,-,0.49,-,-,1.15
קריית אונו,"2,620","9,099.50","41,900",99.90,97.30,-,-,-,-,"20,309","21,591",6.87,9.10,9.46,7.34,9.23,19.76,18.98,3.90,15.35,30.07,6.88,928,472,2.02,0.60,  ..,230,3.80,242,5.85,2.61,7.25,45,35.56,20,24.44,20,736,666,"2,190","1,044","1,146",598,358,"1,014",220,"1,524",778,746,364,370,686,104,"1,785",107,8.30,139,8.20,6,347,0.51,-,-,0.34,-
קריית ארבע,"3,611",..,"7,499",100,97.80,-,-,-,-,"3,725","3,774",13.18,11.08,10.92,9.93,16.70,15.58,9.75,3.61,9.25,41.69,3.71,"1,192",215,..,0.40,  ..,33,5.12,182,24.53,2.19,16.24,5,20,20,0,60,-22,-25,352,186,166,105,176,59,12,351,179,172,141,127,74,9,335,110,51.10,35,13.80,5,508,-,5.57,1.35,-,-
קריית אתא,"6,800","3,452.20","60,102",99.80,92,-,-,-,-,"29,416","30,686",8.01,7.84,6.84,6.14,12.69,19.19,16.64,5.49,17.16,26.40,6.52,852,941,2.43,1.80,( 1.9),467,5.43,474,7.94,1.24,16.67,69,40.58,28.99,11.59,18.84,262,162,"1,995",990,"1,005",551,505,791,148,"1,833",906,927,471,464,756,142,"3,290",376,18.10,225,9,15,"1,036",0.89,-,0.13,0.64,0.09
קריית ביאליק,"9,500","5,044.20","43,267",99.90,90.20,-,-,-,-,"20,840","22,427",7.39,7.60,6.44,5.47,10.87,20.58,16.06,5.29,20.29,24.78,8.24,894,616,2.24,0.60,  ..,390,5.13,226,5.31,3.23,21.70,76,35.53,26.32,26.32,11.84,"1,106","1,025","2,830","1,388","1,442",689,568,"1,347",226,"1,805",884,921,371,430,818,186,"1,888",208,13.70,152,8.80,6,602,1.32,-,-,-,0.12
