שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
הר אדר,"3,769",..,"4,065.11",99.80,96.90,-,-,-,-,"2,063","2,002",4.30,6.80,10.70,10.40,14.59,12.20,23.71,4.10,13.20,28.40,5.10,829,30,..,-,   -,9,(2.0),21,5.14,-1.04,7,..,..,..,..,..,-81,-82,168,94,74,49,35,76,..,250,110,140,53,83,96,18,68,18,13.60,18,10
הרצלייה,"6,400","4,917.80","106,740.70",99.80,94.80,-,-,-,-,"52,110","54,631",7.30,7.30,6.70,5.80,11.13,20.90,16.98,4.60,19.30,24.90,8.80,867,"1,406",2.07,2.20,( 1.7),730,4.11,676,6.44,3.31,13.10,989,23.76,42.06,21.13,13.04,"2,722","1,756","5,583","2,757","2,826","1,275","1,322","2,558",428,"3,831","1,935","1,896",741,"1,046","1,719",325,"5,001",794,20.90,340,8.10
זכרון יעקב,"9,300",765.90,"24,144.96",99.80,96.10,-,-,-,-,"11,808","12,337",6.40,8.20,9.60,9.20,12.94,14.65,20.02,5.50,13.40,29.90,5.20,883,256,2.12,0.60,  ..,87,4.03,169,7.04,1.21,12.20,93,30.11,43.01,17.20,9.68,160,74,"1,009",501,508,333,139,469,68,935,466,469,224,314,340,57,"1,030",158,19.80,108,11.10
זמר,"1,290",895.20,"7,457.00",-,-,99.90,100,-,-,"3,777","3,680",9.90,10.30,9.30,8.70,17.15,19.19,14.74,3.90,6.80,34.50,2.40,818,143,..,0.20,  ..,28,5.60,115,15.52,1.32,0.10,..,-,-,-,-,-13,-18,74,29,45,32,22,20,-,92,36,56,34,32,26,-,..,119,57.40,11,3.60
זרזיר,975,"1,946.40","8,564.61",-,-,99.70,100,-,-,"4,335","4,229",10.20,10.70,10.30,9.60,18.11,19.58,14.13,2.60,4.90,36.70,1.60,837,185,..,1,( 5.4),22,5.86,163,19.20,1.81,-,-,-,-,-,-,-13,-13,51,14,37,17,24,10,-,64,19,45,17,24,23,-,38,110,47,15,4.50
חדרה,"6,500","2,019.30","103,041.19",99,91.90,-,-,-,-,"50,567","52,475",8,8.20,7.40,6.50,11.87,19.86,16.62,5.10,16.50,27.50,6.80,872,"1,632",2.51,4.20, 2.6,745,5.49,887,8.71,2.40,23.70,803,24.28,41.47,22.29,11.96,"1,522",638,"3,712","1,848","1,864",926,785,"1,644",357,"3,075","1,516","1,559",842,752,"1,287",194,"5,595",945,25.60,419,10.70
חולון,"6,600","10,395.50","197,956.68",99.80,90.90,-,-,-,-,"95,672","102,285",6.80,7.50,7.50,6.50,11.39,19.42,17.78,4.80,18.30,25.70,8.30,872,"2,474",2.12,3.60,( 1.3),"1,659",5.01,815,4.12,0.25,17.90,"1,030",28.64,40.68,20.49,10.19,-92,"-1,298","5,673","2,823","2,850","1,315","1,323","2,534",501,"6,971","3,456","3,515","1,941","1,453","3,051",526,"10,003","1,580",22.10,698,8.50
חורה,"1,303","2,840.70","24,821.86",-,-,99.90,100,-,-,"12,534","12,288",18.30,15.30,13.40,11.90,17.13,13.65,7.27,1.10,2,54,0.70,"1,557",716,4.34,6.60, 9.5,43,4.76,673,27.60,3.67,-,-,-,-,-,-,87,79,165,72,93,67,67,28,..,86,35,51,36,35,15,-,195,295,51,47,7.10
חורפיש,496,"1,059.40","6,639.12",-,-,100,0.20,2.90,96.60,"3,350","3,289",8.30,8.50,8.40,8.60,17.16,21.71,16.73,3.60,7,30.20,2.50,688,101,..,0.60,  ..,22,5.14,79,11.95,0.88,-,-,-,-,-,-,-1,-1,33,..,25,..,15,11,-,34,10,24,..,10,15,-,-,94,53.60,15,4.80
חיפה,"4,000","4,417.70","290,306.31",87.90,83.20,12.10,50.50,47.80,1.50,"140,320","149,987",6.40,6.80,6.40,5.80,13.12,19.09,16.52,5.10,20.80,23,10.10,856,"3,576",1.96,6.20, 1.6,"2,795",5.01,781,2.73,2.64,26.10,"7,854",24.74,43.84,21.45,9.97,"6,352","-1,854","10,606","5,340","5,266","2,084","3,145","4,626",751,"12,461","6,176","6,285","3,060","3,017","5,305","1,079","19,031","2,027",17.70,"1,036",9.20
חצור הגלילית,"2,034","1,839","10,046.79",99.50,97.50,-,-,-,-,"5,130","4,917",11.30,9.80,8.30,8.20,15.15,17.20,13.47,5,11.60,34,4.10,969,253,3.91,0.40,  ..,67,6.54,186,18.78,2.90,6.60,28,42.86,42.86,10.71,3.57,102,72,413,213,200,153,112,134,14,341,187,154,106,120,110,..,586,143,44.80,48,13
חריש,"1,247","3,736.30","33,380.13",98.60,91.10,-,-,-,-,"16,543","16,837",19.30,15.20,8.90,3.60,10.63,26.91,9.19,1.90,4.30,45.80,1.10,"1,057","1,072",4.36,1.60,( 2.5),47,4.47,"1,025",33.95,23.60,17.40,313,31.95,35.14,18.53,14.38,"5,452","5,080","6,853","3,368","3,485","2,410","1,498","2,564",381,"1,782",888,894,697,361,659,65,"2,972",223,58.80,125,13.70
טבריה,"6,700","2,992.90","48,471.60",98.50,93.30,-,-,-,-,"24,258","24,213",11.40,9.40,7.50,6.80,15.04,16.74,14.29,5,13.90,32.40,5.40,957,"1,163",3.68,3.20,( 3.1),324,5.89,839,17.63,3.80,11.80,817,27.17,34.52,19.09,19.22,966,-53,"2,014","1,011","1,003",641,700,590,83,"2,066",973,"1,093",601,502,744,219,"3,460",615,37.10,215,12.60
טובא-זנגרייה,962,"1,893.60","7,094.83",-,-,99.90,99.90,-,-,"3,541","3,554",10.30,10.20,8.50,9.30,17.90,20.59,15.18,3.20,4.90,34.50,1.60,759,151,..,0.20,  ..,24,5.75,127,18.01,1.20,-,-,-,-,-,-,-12,-12,38,11,27,13,11,14,-,50,16,34,19,19,12,-,-,84,36.90,29,10.90
טורעאן,498,"1,208.60","14,808.98",-,-,100,89.10,10.90,-,"7,604","7,205",8.90,9.50,9.80,9.80,18.24,18.80,15.39,3.40,6.30,34,2.20,792,248,2.09,0.80,  ..,61,5.27,187,12.69,1.05,-,..,-,-,-,-,-16,-19,58,21,37,21,19,18,-,77,22,55,21,36,20,-,..,194,47.80,19,3
טייבה,"2,730","2,434.10","46,020.49",-,-,99.90,100,-,-,"23,179","22,842",9.20,9.40,9.80,10.40,17.71,18.04,15.73,3.60,6.10,34.60,2.30,817,805,2.30,2.80,( 3.5),175,6.58,630,13.78,1.39,0.10,..,-,-,-,-,22,-8,252,91,161,100,78,73,..,260,94,166,82,98,80,-,..,629,45.50,156,8.70
טירה,"2,720","2,340.40","27,802.42",-,-,99.70,99.90,0.10,-,"13,976","13,826",8.60,8.90,8.40,8.70,17.55,20.07,15.94,4.30,7.60,30.80,2.80,730,466,2.13,0.80,  ..,119,5.84,347,12.57,1.50,0.10,..,..,..,..,..,60,28,163,46,117,52,47,62,..,135,48,87,44,39,51,..,..,435,49.50,121,10.70
טירת כרמל,"2,100","4,852.20","28,752.66",99.20,92.20,-,-,-,-,"14,158","14,595",10.10,8.90,6.20,5.30,10.90,23.96,15.05,5.10,14.50,28.30,5.20,817,501,2.48,-,   -,230,6.10,271,9.76,7.26,19.10,174,27.59,35.63,25.86,10.92,"1,651","1,461","2,228","1,099","1,129",598,374,"1,066",190,767,384,383,217,148,355,47,"1,662",262,29.20,105,10.10
טמרה,"8,900","1,203.70","35,833.96",-,-,99.90,99.90,0.10,-,"18,120","17,714",8.60,8.80,9.40,9.80,18.11,19.12,16.36,3.70,6.20,32.60,2.10,747,632,2.27,1.80,( 2.9),116,5.55,516,14.49,1.21,-,-,-,-,-,-,-22,-36,169,64,105,45,64,57,..,205,78,127,71,65,68,..,..,453,42.80,114,7.70
יאנוח-ג'ת,"1,295",511.30,"6,930.10",-,-,100,-,-,100,"3,487","3,443",8.40,8.40,8.60,9.40,17.72,22.02,16.08,3.50,6,31.20,2.10,687,107,..,0.20,  ..,25,5.12,82,11.90,1.16,-,-,-,-,-,-,-2,-2,44,..,37,..,25,12,-,46,10,36,..,28,11,-,36,111,59,10,3.20
יבנאל,46,..,"4,542.11",99.90,98.40,-,-,-,-,"2,285","2,257",11.20,13.30,12.70,9.90,12.44,15.24,12.13,3.70,9.50,42.80,4.10,"1,300",114,..,0.20,  ..,18,(4.2),96,21.36,2.12,5.60,16,62.50,25,6.25,6.25,-5,-25,178,102,76,67,35,64,12,203,103,100,79,62,54,..,44,68,55.40,22,14.70
יבנה,"2,660","1,928.30","56,231.92",99.80,96.70,-,-,-,-,"27,903","28,329",10.90,11.70,8.60,5.70,10.36,23.01,13.76,4.10,11.80,34.90,3.60,952,"1,047",2.76,1.80,( 1.8),231,4.78,816,14.86,4.92,9.90,109,26.61,37.61,18.35,17.43,"1,856","1,743","3,100","1,547","1,553","1,072",498,"1,388",142,"1,356",694,662,384,303,576,93,"2,881",494,34.80,176,8.10
יהוד-מונוסון,"9,400","5,468.20","31,404.97",99.80,97.80,-,-,-,-,"15,430","15,975",7,8,7.70,7.40,12.05,16.92,18.80,4.80,17.40,27.10,6.80,903,396,2.29,0.40,  ..,197,4.55,199,6.42,2.57,6.30,39,25.64,35.90,23.08,15.38,609,568,"1,664",820,844,474,336,706,148,"1,092",522,570,278,276,471,67,"1,626",244,23.10,133,10.40
יסוד המעלה,29,..,"1,797.68",100,97.90,-,-,-,-,892,905,6.80,7.30,7.30,8.80,14.24,16.74,19.63,5.30,13.80,27,6.10,789,20,..,-,   -,9,..,11,6.11,-0.32,3.90,..,..,..,..,..,-17,-11,113,47,66,36,24,51,..,124,61,63,44,22,55,..,30,..,13.40,..,..
יפיע,499,"4,828.40","19,704.13",-,-,100,82.70,17.30,-,"9,980","9,724",8.20,8.90,9.10,9.20,18.31,19.05,16.54,3.80,6.90,31.50,2.50,732,308,1.97,1,( 3.1),62,5.06,246,12.54,0.85,-,-,-,-,-,-,-71,-58,152,49,103,51,56,44,..,210,75,135,62,87,58,..,13,222,38,31,3.70
יקנעם עילית,240,"2,961.90","24,617.31",99.90,89.70,-,-,-,-,"12,120","12,497",7.10,8.60,8.60,8.20,13.01,17.83,20.02,4.40,12.30,29.10,4.70,809,251,1.77,0.20,  ..,123,4.71,128,5.25,1.90,22,229,29.26,41.92,20.09,8.73,334,107,816,412,404,246,122,363,85,709,363,346,166,187,316,40,"1,111",180,22.50,109,10.80
ירוחם,831,190.60,"11,169.91",96.80,92.70,-,-,-,-,"5,889","5,281",10,10.50,9.10,9.10,16.03,18.45,13.60,3.90,9.20,35.30,3.50,923,264,3.73,1,( 4.1),72,7.22,192,17.30,1.26,13.50,15,33.33,26.67,20,20,-24,-36,487,236,251,150,129,182,26,523,278,245,178,156,172,17,599,147,39.80,43,10.90
ירושלים,"3,000","7,785.30","981,711.23",60.80,97.40,39.20,96.60,3.40,-,"491,084","490,627",12,10.90,10.10,9.40,16.59,16.73,11.62,3.20,9.50,38.60,4.20,"1,076","25,042",3.68,81.60, 3.2,"4,221",4.79,"20,821",21.38,1.60,8.10,"7,644",22.48,42.83,18.96,15.74,"-7,128","-15,513","12,172","6,457","5,715","3,169","5,227","3,215",561,"27,682","14,086","13,596","9,797","8,836","7,544","1,505","46,232","14,131",51.10,"2,980",8.20
ירכא,502,"1,107.10","17,759.47",-,-,99.60,1,0.10,98.80,"9,170","8,589",8.30,8.50,9.10,9.50,18.27,20.95,15.37,3.60,6.40,31.60,2.30,719,288,2.02,2,( 7.2),65,5.24,223,12.62,1.05,0.20,-,-,-,-,-,-9,-10,63,16,47,12,31,20,-,73,17,56,17,34,21,..,17,253,48.60,48,6.30
כאבול,504,"2,010.10","14,627.90",-,-,99.90,99.90,-,-,"7,394","7,234",9,9.70,9.80,9.90,17.70,19.54,16.00,3.10,5.20,34.40,1.90,774,217,1.87,1.20,( 5.4),51,5.29,166,11.41,1.07,-,-,-,-,-,-,27,27,102,28,74,30,44,28,-,75,19,56,22,32,21,-,..,158,38.90,30,4.90
כאוכב אבו אל-היג'א,505,..,"3,772.63",-,-,99.90,99.90,0.10,-,"1,880","1,893",8.30,9.30,9.50,9.20,16.17,19.93,17.49,3,7.10,32.50,3,769,59,..,0.20,  ..,16,(5.1),43,11.47,1.32,0.10,-,-,-,-,-,7,8,48,19,29,20,13,15,-,40,18,22,12,11,16,..,..,32,28.20,..,5.20
כוכב יאיר,"1,224","2,941.30","8,976.54",99.80,98.80,-,-,-,-,"4,529","4,447",5.40,7.90,8,7.80,13.82,14.06,20.74,7.30,15,26.10,4,787,74,..,-,   -,32,3.90,42,4.69,0.31,6.40,24,12.50,45.83,16.67,25,-15,-29,410,217,193,184,32,184,10,437,227,210,68,176,158,35,194,54,19.10,45,10.80
כסיפה,"1,059","1,773.60","23,989.77",-,-,99.90,100,-,-,"12,034","11,956",17.50,14.40,13,11.30,17.51,14.77,7.94,1.30,2.20,51.80,0.70,"1,406",698,4.20,4, 6.0,41,5.11,657,27.83,3.32,-,-,-,-,-,-,4,-3,144,71,73,57,64,23,-,147,66,81,71,42,33,..,67,276,46.30,27,4.10
כסרא-סמיע,"1,296",651.50,"9,223.29",-,-,100,1.10,3.30,95.60,"4,694","4,530",9.60,9.80,9.40,10,18.30,21.41,13.97,2.80,4.80,35,1.80,772,177,2.23,1.40,( 7.7),25,5.97,152,16.58,1.26,-,-,-,-,-,-,-19,-21,31,..,23,..,16,11,..,52,16,36,14,22,16,-,11,158,69.30,17,4.20
כעביה-טבאש-חג'אג'רה,978,"3,667.70","5,878.22",-,-,99.70,100,-,-,"2,948","2,930",10,10.40,9.70,9.60,19.16,18.94,14.32,3.10,4.80,35.70,1.60,802,123,..,0.20,  ..,13,5.70,110,18.95,2.56,-,-,-,-,-,-,40,37,85,30,55,27,32,26,-,48,20,28,21,14,13,-,26,92,53.50,20,9.10
כפר ברא,633,..,"3,945.54",-,-,99.90,100,-,-,"1,968","1,978",12,10.70,9.40,9.90,20.96,16.85,13.38,2.70,4.10,37.80,1.50,855,100,..,0.40,  ..,9,(4.0),91,23.33,2.31,-,-,-,-,-,-,-2,-5,42,14,28,19,15,..,-,47,24,23,21,16,..,..,..,56,51,11,7.80
כפר ורדים,"1,263","1,145.50","5,561.98",95.80,94.40,4.20,19.50,52.40,23.40,"2,699","2,863",3.90,6.70,8.30,9.10,13.54,13.05,20.55,5.90,18.90,24.50,6.50,885,44,..,0.20,  ..,23,4.09,21,3.79,0.56,9,25,40,44,4,12,19,-6,335,168,167,111,31,154,39,341,160,181,66,107,138,30,114,22,10.90,14,5.80
כפר יאסיף,507,"3,183.10","10,393.81",-,-,99.80,44.90,52.50,2.70,"5,182","5,212",7.60,7.80,8,7.90,15.98,21.13,17.29,4.60,9.70,27.90,3.40,696,172,2.12,0.20,  ..,43,5.99,129,12.45,0.68,0.10,..,..,..,..,..,-51,-51,105,43,62,27,43,33,..,156,68,88,44,48,64,-,-,146,44.40,21,4.60
כפר יונה,168,"2,558.30","29,449.52",99.90,96.40,-,-,-,-,"14,623","14,826",9.20,9.40,9.50,7.90,11.47,20.74,17.85,4.10,9.90,33,3.20,845,483,2.58,0.60,  ..,80,3.68,403,14.05,5.56,10.60,122,24.59,39.34,23.77,12.30,"1,164","1,040","2,067","1,041","1,026",632,376,945,114,"1,030",501,529,293,210,463,64,"1,129",230,28,100,8.90
כפר כמא,508,..,"3,499.82",-,-,99.50,100,-,-,"1,757","1,743",7.60,7.20,7.10,6.70,15.54,21.03,16.37,4.90,13.50,25.80,4.60,730,51,..,-,   -,23,(5.7),28,8.02,0.61,0.10,-,-,-,-,-,-1,5,16,10,..,..,..,..,-,11,..,..,-,..,..,-,..,17,17.40,..,4
כפר כנא,509,"2,397.30","24,108.19",-,-,99.90,90.60,9.40,-,"12,310","11,799",10,9.70,9.60,9.90,18.82,18.23,14.62,3.30,5.80,35.10,1.90,818,450,2.43,1.80,( 3.8),60,4.89,390,16.31,1.70,-,..,..,..,..,..,28,31,166,60,106,62,55,47,..,135,48,87,34,55,46,-,..,295,44.20,34,3.50
כפר מנדא,510,"1,947.20","21,472.68",-,-,100,99.90,-,-,"11,236","10,237",10.80,10.60,9.90,9.70,20.05,19.45,12.79,2.60,4.10,36.90,1.40,821,450,2.49,2,( 4.3),60,5.67,390,18.33,1.90,-,-,-,-,-,-,23,-7,78,24,54,17,31,29,..,85,37,48,14,43,28,-,-,337,63.40,50,5.60
כפר סבא,"6,900","7,010.30","101,556.23",99.80,96,-,-,-,-,"48,861","52,695",6.50,8.20,8,6.70,9.47,18.09,17.88,4.60,20.50,26.90,9.20,998,"1,138",2.08,0.60,  ..,755,4.20,383,3.77,-0.24,11.90,414,25.60,35.99,22.22,16.18,-372,-691,"2,781","1,374","1,407",608,467,"1,393",313,"3,473","1,769","1,704",914,768,"1,502",289,"4,032",600,17,426,10
כפר קאסם,634,"2,713.20","25,284.67",-,-,99.80,99.90,-,-,"12,933","12,352",10.80,10.10,9.80,9.90,19.13,18.18,14.51,3,4.60,36.40,1.60,824,570,2.85,3,( 5.6),70,5.92,500,19.98,2.13,-,-,-,-,-,-,28,4,147,55,92,64,45,37,..,143,56,87,52,57,34,-,11,422,60,72,7.30
כפר קרע,654,"2,562.50","20,017.91",-,-,99.90,99.90,0.10,-,"10,129","9,889",9,8.80,9.10,9,17.69,20.15,15.79,3.90,6.60,32.20,2.30,738,383,2.36,1.40,( 3.8),65,5.64,318,16.02,1.66,-,-,-,-,-,-,45,31,189,53,136,59,70,59,..,158,42,116,53,62,42,..,24,287,49.20,39,4.70
כפר שמריהו,267,..,"1,950.93",99.30,95.80,-,-,-,-,958,993,4.60,7.10,7.60,8.70,11.79,11.48,19.89,5.70,23.10,24.20,11.60,"1,047",15,..,-,   -,11,(3.6),4,2.05,0.15,11.70,10,30,30,40,-,4,-8,126,62,64,42,21,55,..,134,61,73,30,41,50,13,56,13,17.90,..,..
כפר תבור,47,..,"4,410.32",99.30,97.90,-,-,-,-,"2,196","2,214",6,8.70,10.20,8.90,12.52,14.99,19.46,5.20,14,30.30,4,917,54,..,-,   -,14,(3.9),40,9.05,-0.34,5.20,..,..,..,..,..,-42,-35,176,90,86,54,27,80,15,211,102,109,54,60,93,..,170,23,17.30,16,8.30
כרמיאל,"1,139","2,147.90","47,316.53",95.80,80.90,4.20,66.70,19.20,11.90,"23,061","24,255",6.40,7,7,7.30,12.50,17.24,17.10,5.80,19.70,24.50,7.90,900,512,1.95,2.40,( 3.9),390,5.40,122,2.61,2.17,36.20,"1,063",25.68,40.45,20.79,13.08,760,-326,"1,446",734,712,317,421,597,111,"1,772",904,868,367,539,727,139,"3,355",332,19.20,217,11.20
להבים,"1,271",647.30,"7,218.91",95.60,97.60,4.40,91.50,8.80,-,"3,535","3,684",6,7.60,8.40,8.40,13.81,14.09,18.77,5,17.90,27,7.40,934,85,..,-,   -,33,2.67,52,7.33,3.47,5.90,14,14.29,35.71,14.29,35.71,176,163,485,233,252,156,61,175,93,322,172,150,62,101,118,41,231,38,17.60,17,5.30
לוד,"7,000","5,769.90","85,351.37",70.60,89.30,29.40,97,3,-,"42,370","42,982",12.30,10.70,8.70,7,14.59,17.36,13.39,3.80,12.10,36.10,5.20,"1,034","2,042",3.63,4.20, 2.4,543,5.68,"1,499",17.85,3.29,17.60,253,24.51,37.15,20.95,17.39,"1,437","1,097","3,961","1,928","2,033","1,618","1,294",932,117,"2,859","1,383","1,476",898,661,"1,093",207,"3,605",807,31,331,10.80
לקיה,"1,060","2,259.30","16,010.78",-,-,99.90,100,-,-,"8,038","7,973",17,13.90,11.80,11.40,17.66,14.94,9.34,1.50,2.50,49.60,1,"1,303",653,5.83,4.60, 8.1,29,5.26,624,39.87,4.68,-,-,-,-,-,-,24,18,132,53,79,50,53,29,-,114,41,73,50,34,30,-,37,296,75.10,43,9.30
מבשרת ציון,"1,015","4,039.20","25,486.78",99.60,96.60,-,-,-,-,"12,543","12,943",8.10,7.70,7.60,7.10,12.54,18.22,16.27,5.50,16.90,27.90,6.70,904,377,2.46,0.60,  ..,127,3.30,250,9.91,2.18,7.60,77,23.38,48.05,15.58,12.99,239,177,"1,268",621,647,387,263,539,79,"1,091",555,536,286,274,432,99,807,237,29,105,9.80
מגאר,481,"1,136.70","23,997.97",-,-,99.90,21.80,21.30,56.90,"12,369","11,629",8.70,8.20,8.40,8.30,18.34,22.32,15.92,3.50,6.40,30.10,2.30,665,429,2.20,1.40,( 3.4),74,5.36,355,14.91,1.58,-,-,-,-,-,-,19,18,147,57,90,30,57,59,..,129,40,89,32,54,43,-,..,352,50.30,41,3.90
מג'ד אל-כרום,516,"1,695.30","15,777.42",-,-,99.90,100,-,-,"8,060","7,717",7.70,8.30,9.70,10.20,18.66,19.67,16.20,3.40,6.10,32.20,2.30,725,251,2.03,1.40,( 5.8),42,5.32,209,13.31,0.94,-,..,..,..,..,..,-48,-49,71,26,45,16,36,19,-,120,39,81,23,54,41,..,..,176,36.80,34,5.20
מגדל,65,..,"2,030.95",97.60,96.90,-,-,-,-,"1,032",999,8.30,8.60,8.20,7.20,13.64,16.94,17.28,6.90,12.80,29.80,3.50,825,30,..,0.20,  ..,12,(6.0),18,8.96,2.16,5.80,..,..,..,..,..,23,19,88,45,43,18,24,41,..,69,28,41,22,14,29,..,12,15,20.20,..,11
מגדל העמק,874,"3,108.40","27,088.05",99.90,87.50,-,-,-,-,"13,481","13,607",8.40,8.50,8.10,8.20,12.78,18.04,15.67,5.10,15.20,29.70,6,938,454,2.81,2.60,( 5.7),235,6.32,219,8.25,4.07,25.20,380,28.16,41.58,21.84,8.42,769,364,"1,255",611,644,387,245,519,104,891,452,439,259,241,315,76,"2,034",297,31.80,120,11.70
מג'דל שמס,"4,201",744.90,"11,457.58",-,-,100,-,-,99.90,"5,805","5,653",6.40,7.50,8.20,9.10,16.14,19.92,20.60,3.90,8.20,27.70,3,651,116,1.43,0.20,  ..,41,5.59,75,6.56,0.46,-,-,-,-,-,-,-2,1,65,25,40,..,29,32,-,64,26,38,16,18,29,..,..,136,36.40,21,4.30
מודיעין עילית,"3,797",..,"83,356.36",100,100,-,-,-,-,"42,030","41,326",19.30,18.90,16.60,10.90,12.22,14.94,5.54,0.50,1.10,62.20,0.40,"2,014","3,318",7.20,9.80, 3.0,53,4.15,"3,265",39.73,2.91,3.50,76,19.74,31.58,18.42,30.26,-772,-850,"1,832","1,025",807,836,689,251,56,"2,682","1,484","1,198","1,184","1,081",393,24,"4,111","1,050",92.40,75,3.20
מודיעין-מכבים-רעות,"1,200","2,052","99,170.57",100,97.70,-,-,-,-,"48,983","50,187",6.50,8.70,10.60,10.20,12.62,15.66,21.49,4.10,10.10,32.20,4,855,"1,098",2.26,0.80,  ..,258,3.12,840,8.56,2.14,11.50,400,32,32.50,13.75,21.75,"1,396","1,037","3,625","1,790","1,835","1,143",529,"1,599",354,"2,588","1,285","1,303",481,992,974,141,"4,892",647,21.80,361,9
מזכרת בתיה,28,"2,117.80","15,725.94",99.90,98.60,-,-,-,-,"7,780","7,946",6.60,10.10,11.50,9.10,11.78,16.85,20.21,3.80,10.10,33.80,3.50,901,165,2.19,0.20,  ..,40,3.62,125,8.03,1.96,6.70,19,31.58,31.58,15.79,21.05,174,144,661,325,336,285,64,284,28,517,263,254,118,144,227,28,653,94,20.80,48,7.60
מזרעה,517,..,"4,115.32",-,-,99.70,98,2,-,"2,083","2,032",9.90,8.30,6.30,7,17.40,21.94,15.48,5.50,8.20,28.70,2.60,658,77,..,-,   -,26,(7.1),51,12.45,0.92,0.10,-,-,-,-,-,-9,-10,34,11,23,..,18,..,..,44,..,36,12,18,14,-,..,66,52.60,17,9.40
מטולה,43,..,"1,739.89",96.50,94.60,-,-,-,-,875,864,6.60,5.20,5.30,5.50,20.11,21.55,14.37,5.90,15.50,20.30,5.40,614,35,..,-,   -,8,..,27,15.73,2.80,8.20,16,25,37.50,25,12.50,20,3,180,97,83,33,81,65,..,177,90,87,37,54,80,..,49,16,20.70,..,11.20
מיתר,"1,268",451.80,"10,946.86",98.10,98,-,-,-,-,"5,509","5,437",6.90,11.30,12.30,8.70,11.59,18.53,17.82,3.50,9.40,35.80,3.20,943,142,2.39,-,   -,30,3.49,112,10.41,3.61,5.50,12,25,41.67,16.67,16.67,232,232,659,330,329,265,86,288,20,427,200,227,102,112,170,43,477,65,24.40,34,7.60
מסעדה,"4,203",..,"3,869.36",-,-,99.90,0.10,-,99.90,"1,981","1,889",7.60,8.50,9.80,9.80,14.22,19.75,18.92,3.70,7.80,31.70,3.20,769,69,..,-,   -,12,(4.4),57,14.84,1.49,-,..,..,..,..,..,11,8,39,..,30,11,13,15,-,31,..,28,..,17,12,-,-,34,30.40,..,5.40
מעיליא,518,..,"3,281.18",-,-,97.50,0.10,99.80,0.10,"1,635","1,647",6.50,6.80,6.10,7.40,14.05,18.59,19.32,4.70,16.60,23.50,9.50,765,44,..,-,   -,24,(3.4),20,6.11,0.42,1.50,-,-,-,-,-,-5,-1,25,..,20,..,10,11,-,26,12,14,11,..,..,-,-,43,39.90,..,3.90
